City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,namibe,-15.1961,12.1522,23.55,65,47,4.77,AO,1698416510
227,twon-brass,4.3151,6.2418,27.98,75,31,4.8,NG,1698416510
228,wuchuan,21.4571,110.7659,24.64,90,18,3.35,CN,1698416290
229,macau,22.2006,113.5461,27.7,89,40,5.14,MO,1698416511
230,holualoa,19.6228,-155.9522,24.37,73,0,3.58,US,1698416511
231,sao domingos do prata,-19.865,-42.9683,28.36,62,97,1.03,BR,1698416511
232,byron bay,-28.65,153.6167,13.73,62,100,8.88,AU,1698416511
233,tazovsky,67.4667,78.7,-14.47,91,83,7.04,RU,1698416374
234,nagqu,31.5,92.0,-3.3,72,100,1.59,CN,1698416511
235,celestun,20.8667,-90.4,25.81,74,23,4.98,MX,1698416511
236,turkeli,41.9476,34.3386,22.22,61,79,2.43,TR,1698416512
237,zag,46.9441,99.165,2.15,36,1,1.25,MN,1698416512
238,manaus,-3.1019,-60.025,33.28,62,0,4.63,BR,1698416294
239,ad dabbah,18.05,30.95,39.06,12,7,3.05,SD,1698416512
240,gurupi,-11.7292,-49.0686,37.91,30,85,0.38,BR,1698416512
241,ploneour-lanvern,47.9,-4.2833,14.16,94,75,3.09,FR,1698416512
242,nago,26.5881,127.9761,19.24,61,33,4.12,JP,1698416512
243,ashibetsu,43.5097,142.1856,10.9,98,100,0.68,JP,1698416512
244,maintirano,-18.0667,44.0167,27.15,72,0,7.74,MG,1698416513
245,san isidro,-12.1167,-77.05,20.56,83,100,3.6,PE,1698416513
246,arkhangel'sk,64.5401,40.5433,-1.04,83,100,2.43,RU,1698416513
247,udachny,66.4167,112.4,-8.64,85,100,7.35,RU,1698416290
248,eyl,7.9803,49.8164,28.31,64,37,7.54,SO,1698416513
249,kodiak,57.79,-152.4072,6.73,93,100,3.09,US,1698416513
250,punta arenas,-53.15,-70.9167,8.06,71,100,8.75,CL,1698416269
251,ghanzi,-21.5667,21.7833,38.05,10,91,4.86,BW,1698416514
252,zeya,53.75,127.2667,-3.06,64,4,1.07,RU,1698416310
253,san patricio,28.017,-97.5169,28.92,84,80,4.41,US,1698416514
254,nandu,22.8525,110.8233,23.97,89,13,1.2,CN,1698416514
255,lihue,21.9789,-159.3672,21.58,78,0,3.09,US,1698416285
256,gargalianoi,37.0667,21.6333,25.34,76,89,3.9,GR,1698416514
257,maumere,-8.6199,122.2111,26.03,77,12,1.69,ID,1698416514
258,yacuiba,-22.038,-63.6797,22.43,83,100,1.54,BO,1698416514
259,semera,11.501,41.201,31.49,40,100,5.73,ET,1698416515
260,peniche,39.3558,-9.3811,20.04,87,98,7.96,PT,1698416515
261,hithadhoo,-0.6,73.0833,27.37,80,65,6.84,MV,1698416346
262,kijang,35.2442,129.2139,11.85,72,5,4.0,KR,1698416515
263,nyala,12.05,24.8833,31.93,35,100,1.91,SD,1698416240
264,remire-montjoly,4.9167,-52.2667,31.02,70,75,6.17,GF,1698416515
265,bocas del toro,9.3333,-82.25,25.0,78,100,0.45,PA,1698416515
266,chengde,40.9725,117.9361,12.11,29,0,0.67,CN,1698416515
267,severobaykal'sk,55.65,109.3167,4.73,65,85,1.94,RU,1698416516
268,tsagan aman,47.5639,46.7218,15.91,90,100,9.66,RU,1698416516
269,torata,-17.0769,-70.8433,17.59,42,30,3.2,PE,1698416516
270,uturoa,-16.7333,-151.4333,22.59,87,100,8.3,PF,1698416516
271,gujar khan,33.2558,73.3026,23.68,36,0,0.95,PK,1698416516
272,sishui,35.6489,117.2758,16.54,35,100,2.03,CN,1698416516
273,kayangel,8.0823,134.7173,28.47,71,100,1.8,PW,1698416516
274,uliastay,47.7417,96.8444,4.35,36,33,2.57,MN,1698416517
275,conde,-7.2597,-34.9075,29.7,62,75,4.12,BR,1698416517
276,tosontsengel,48.7567,98.2839,4.24,32,10,2.56,MN,1698416295
277,wauseon,41.5492,-84.1416,19.73,95,100,4.63,US,1698416517
278,freetown,8.484,-13.2299,28.84,84,75,4.63,SL,1698416517
279,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,40,4.0,RU,1698416234
280,crane,31.3974,-102.3501,19.97,94,35,4.7,US,1698416518
281,quiberon,47.4841,-3.1196,16.22,78,17,8.94,FR,1698416518
282,zhangye,38.9342,100.4517,10.7,22,0,1.18,CN,1698416518
283,papao,-17.75,-149.55,22.82,84,100,3.5,PF,1698416518
284,vallenar,-28.5708,-70.7581,15.04,64,59,2.6,CL,1698416518
285,rouyn-noranda,48.2398,-79.0288,5.05,100,100,1.03,CA,1698416518
286,kalmunai,7.4167,81.8167,26.88,76,69,2.38,LK,1698416518
287,kenai,60.5544,-151.2583,-7.97,100,0,2.06,US,1698416411
288,koronowo,53.3137,17.937,8.63,96,100,2.85,PL,1698416519
289,port-vila,-17.7338,168.3219,24.3,90,100,3.32,VU,1698416519
290,hasaki,35.7333,140.8333,15.22,59,0,2.97,JP,1698416519
291,imbituba,-28.24,-48.6703,22.72,67,40,6.16,BR,1698416519
292,karukh,34.4811,62.5863,19.34,32,0,2.01,AF,1698416519
293,mount gambier,-37.8333,140.7667,7.79,72,73,2.48,AU,1698416519
294,morehead city,34.7229,-76.726,22.78,85,0,0.45,US,1698416520
295,qaqortoq,60.7167,-46.0333,0.48,48,100,1.62,GL,1698416520
296,kaga bandoro,6.9896,19.1874,26.97,66,94,1.85,CF,1698416520
297,cockburn town,21.4612,-71.1419,27.72,61,2,7.22,TC,1698416520
298,ancud,-41.8697,-73.8203,10.3,94,100,12.69,CL,1698416520
299,kirensk,57.7853,108.1119,6.09,68,100,2.24,RU,1698416520
300,chernyshevskiy,63.0128,112.4714,2.58,95,100,5.79,RU,1698416520
301,atar,20.5169,-13.0499,37.38,13,0,3.29,MR,1698416521
302,egilsstadir,65.2653,-14.3948,4.95,81,75,1.54,IS,1698416521
303,san antonio de pale,-1.4014,5.6325,26.11,81,93,5.7,GQ,1698416521
304,mirny,62.5353,113.9611,0.13,100,100,1.79,RU,1698416475
305,gloucester,51.8657,-2.2431,15.72,73,40,3.09,GB,1698416521
306,lisala,2.15,21.5167,26.03,78,76,0.66,CD,1698416521
307,edgewater,28.9889,-80.9023,27.23,69,75,3.09,US,1698416521
308,carnarvon,-24.8667,113.6333,20.64,74,74,12.75,AU,1698416521
309,shohimardon,39.9839,71.8028,10.43,59,98,0.51,UZ,1698416522
310,sola,-13.8833,167.55,26.08,80,100,1.95,VU,1698416522
311,dalbandin,28.8947,64.4101,25.62,32,99,2.43,PK,1698416522
312,ola,59.5833,151.2833,-1.5,71,100,3.75,RU,1698416522
313,brisas de zicatela,15.8369,-97.0419,25.29,73,40,3.09,MX,1698416522
314,kibaya,-5.3,36.5667,27.31,28,76,5.4,TZ,1698416522
315,rongelap,11.1635,166.8941,27.74,75,73,2.36,MH,1698416523
316,meadville,41.6414,-80.1515,20.48,70,75,4.12,US,1698416523
317,oltinko'l,40.8011,72.1634,18.65,44,93,1.51,UZ,1698416523
318,gazipasa,36.2694,32.3179,27.05,57,0,2.57,TR,1698416523
319,cabugao,17.7931,120.4578,26.01,86,56,1.44,PH,1698416523
320,hamilton,39.1834,-84.5333,19.02,91,100,3.6,US,1698416523
321,xinyuan,37.3,99.0,-2.75,42,0,1.92,CN,1698416524
322,san luis,-33.295,-66.3356,23.29,43,57,2.67,AR,1698416243
323,luganville,-15.5333,167.1667,25.43,89,100,1.87,VU,1698416524
324,broken hill,-31.95,141.4333,14.82,26,0,2.84,AU,1698416413
325,cill airne,52.05,-9.5167,11.03,93,75,5.66,IE,1698416524
326,horasan,40.0458,42.1728,15.26,48,100,4.37,TR,1698416524
327,nurota,40.5614,65.6886,18.95,47,100,2.37,UZ,1698416524
328,akrehamn,59.2667,5.1833,7.45,61,75,2.06,NO,1698416524
329,gounou gaya,9.6294,15.5132,35.94,22,27,2.49,TD,1698416525
330,cacoal,-11.4386,-61.4472,31.4,53,100,3.56,BR,1698416525
331,tual,-5.6667,132.75,27.04,74,35,8.3,ID,1698416525
332,manokwari,-0.8667,134.0833,25.99,83,100,1.07,ID,1698416525
333,ust'-kulom,61.6864,53.6902,-3.17,92,100,1.59,RU,1698416525
334,bikenibeu village,1.3673,173.1241,26.98,89,20,1.03,KI,1698416525
335,brookings,44.3114,-96.7984,-3.12,90,100,10.29,US,1698416525
336,long jetty,-33.3667,151.4833,13.81,62,100,5.88,AU,1698416526
337,kailua-kona,19.6406,-155.9956,26.44,78,0,3.13,US,1698416348
338,kavieng,-2.5744,150.7967,27.08,82,100,6.43,PG,1698416526
339,konakovo,56.7,36.7667,-2.71,81,100,3.61,RU,1698416526
340,port-cartier,50.0334,-66.8654,2.82,92,100,6.91,CA,1698416526
341,carutapera,-1.195,-46.02,31.35,54,99,4.51,BR,1698416526
342,arno,60.1167,18.6333,3.21,85,100,4.29,SE,1698416308
343,brokopondo,4.75,-55.1667,29.55,57,7,1.04,SR,1698416527
344,lata,40.1629,-8.3327,17.26,84,100,4.4,PT,1698416527
345,kearney,40.6995,-99.0815,-2.69,77,29,2.68,US,1698416527
346,zuni pueblo,35.0725,-108.8506,1.35,80,1,1.69,US,1698416527
347,aizawl,23.7333,92.7167,15.35,87,0,0.37,IN,1698416527
348,kununurra,-15.7667,128.7333,31.96,14,62,5.39,AU,1698416527
349,port blair,11.6667,92.75,27.02,83,40,1.03,IN,1698416527
350,cooper's town,26.8667,-77.5167,25.86,61,71,9.07,BS,1698416528
351,pathein,16.7833,94.7333,25.03,93,100,1.97,MM,1698416528
352,karasburg,-28.0167,18.75,29.33,9,50,8.37,NA,1698416528
353,pontes e lacerda,-15.2261,-59.3353,35.17,38,35,4.03,BR,1698416528
354,tabas,33.5959,56.9244,25.54,26,47,0.75,IR,1698416528
355,taroa,8.7058,171.2275,28.43,74,92,3.5,MH,1698416528
